id,titulo,autor,ano,genero,editora
1,Culture debate,Adam Lopez,2014,Romance,Carry
2,Sound,Sarah Parker,1941,Terror,Attack
3,Suggest,Elizabeth Montgomery,2015,Terror,Specific
4,Follow not,Jody Jones,2012,Não-ficção,Reach
5,Present,Amanda Giles,1911,Terror,Field
6,Star term bring,Anthony Ellis,1916,Romance,Gun
7,Put within,Amanda Hanna,2016,Romance,Minute
8,Name turn recognize,Jessica Taylor,2009,Terror,Black
9,Through,Larry Goodwin,1949,Ficção,My
10,Party,Michael Estrada,1939,Ficção,Ability
11,Body require,John Brooks,1952,Romance,Agree
12,Long sense,Megan Bowman,1912,Não-ficção,Election
13,Age,Frank Ellis,1946,Romance,Identify
14,Country,Lindsey Lowe,1930,Ficção,Three
15,Employee public,Bryan Cameron,1929,Romance,Wonder
16,Collection,Eric Gardner,1985,Ficção,Statement
17,Hope none,Benjamin Copeland,1901,Romance,Source
18,Expert nature,Mary Brown,1949,Romance,Wife
19,Evidence miss,Cody Paul,1946,Terror,Outside
20,Ground build,Brad Thompson,1959,Ficção,Hot
21,Test young pull,Allen Brown,1909,Ficção,Lot
22,Pass face however,Victoria Davidson,2012,Terror,Congress
23,Tree,Tracy Taylor,1917,Romance,Third
24,Food be,Sandra Wise,1930,Terror,Action
25,Give,Amy Sanchez,1910,Terror,Responsibility
26,Push,Linda Mcintosh,2002,Terror,Practice
27,Floor service walk,Eric Hernandez,1974,Terror,About
28,Some good,Jim Hall,2004,Ficção,At
29,Window,Holly Wells,1956,Não-ficção,Red
30,Seem,Susan Hoffman,1982,Ficção,Myself
31,Involve activity specific,Julie Kim,1955,Não-ficção,Significant
32,Support natural,Kayla Rivas,1930,Terror,Create
33,Its team,Dale Baker,1904,Romance,See
34,Marriage,Jennifer Wilson,1978,Terror,Tough
35,Result interview,Tina Copeland,1935,Não-ficção,Every
36,Expert easy official,Dawn Moreno,1974,Ficção,Effort
37,Career,Stephanie Palmer,1999,Romance,Large
38,Watch common,Jack Thompson,2004,Ficção,Opportunity
39,Just remember,Kim Shaw,2012,Ficção,Himself
40,Half,Zachary Johnson,2018,Terror,Training
41,Guess,Allison Parker,1974,Ficção,North
42,Capital color under,Christopher Weber,2009,Terror,Public
43,Position or maybe,Vanessa Brown,2001,Não-ficção,About
44,Chance remember during,Jasmine Hickman,1922,Não-ficção,Begin
45,Now region safe,Wendy Thomas,2007,Não-ficção,Often
46,Suffer anyone,Michael Austin,1949,Romance,Country
47,West from,Thomas Shepherd,2018,Não-ficção,Million
48,Beat,Tiffany Hayes,1997,Terror,Describe
49,Foreign they international,Donald Villanueva,1946,Romance,Base
50,Discuss better believe,Lisa Petersen,1909,Ficção,Popular
51,Threat letter generation,Chelsea Elliott,1903,Romance,Film
52,Degree city,Jimmy Moody,1921,Terror,Attorney
53,Opportunity,Arthur Dean,1919,Não-ficção,Third
54,Outside,Valerie Martin,1928,Ficção,Doctor
55,Fire keep view,Charles Nielsen,1974,Ficção,Apply
56,Certain over anything,Katherine Porter,1932,Ficção,Sense
57,Certainly interest child,Joshua Wolfe,1943,Terror,Expert
58,Finish,Elizabeth Moore,1931,Não-ficção,Box
